Year,CSIRO_sea_level,NOAA_sea_level
1880,0.0,
1881,0.220472441,
1882,-0.440944881,
1883,-0.232283464,
1884,0.59055118,
1885,0.531496062,
1886,0.437007874,
1887,0.216535433,
1888,0.299212598,
1889,0.362204724,
1890,0.440944881,
1891,0.374015748,
1892,0.499999999,
1893,0.685039369,
1894,0.303149606,
1895,0.767716535,
1896,0.468503937,
1897,0.673228346,
1898,1.043307086,
1899,1.338582676,
1900,1.125984251,
1901,1.110236219,
1902,1.291338581,
1903,1.606299211,
1904,1.2007874,
1905,0.984251968,
1906,1.251968503,
1907,1.196850392,
1908,1.098425196,
1909,1.27559055,
1910,1.271653542,
1911,1.598425195,
1912,1.476377951,
1913,1.547244093,
1914,1.795275589,
1915,2.10629921,
1916,2.031496061,
1917,1.854330707,
1918,1.791338581,
1919,1.854330707,
1920,1.905511809,
1921,1.988188974,
1922,1.952755904,
1923,1.999999998,
1924,1.712598423,
1925,1.791338581,
1926,2.047244092,
1927,2.003937006,
1928,1.850393699,
1929,1.905511809,
1930,2.062992124,
1931,2.047244092,
1932,2.271653541,
1933,2.440944879,
1934,2.228346454,
1935,2.448818895,
1936,2.295275588,
1937,2.519685037,
1938,2.622047241,
1939,2.826771651,
1940,2.618110234,
1941,3.098425194,
1942,3.098425194,
1943,3.098425194,
1944,2.84645669,
1945,2.95669291,
1946,3.251968501,
1947,3.374015745,
1948,3.562992122,
1949,3.51181102,
1950,3.598425193,
1951,3.972440941,
1952,3.870078736,
1953,4.043307082,
1954,3.929133854,
1955,3.964566925,
1956,3.763779524,
1957,4.291338578,
1958,4.346456688,
1959,4.358267712,
1960,4.503937003,
1961,4.748031491,
1962,4.543307082,
1963,4.480314956,
1964,4.169291334,
1965,4.610236216,
1966,4.397637791,
1967,4.452755901,
1968,4.484251964,
1969,4.751968499,
1970,4.67716535,
1971,4.881889759,
1972,5.240157475,
1973,5.003937003,
1974,5.472440939,
1975,5.409448813,
1976,5.370078735,
1977,5.303149601,
1978,5.555118105,
1979,5.362204719,
1980,5.598425191,
1981,6.086614167,
1982,5.858267711,
1983,6.188976372,
1984,6.153543301,
1985,5.74803149,
1986,5.771653537,
1987,5.795275585,
1988,5.980314955,
1989,6.157480309,
1990,6.24803149,
1991,6.346456686,
1992,6.374015742,
1993,6.3031496,6.30880342
1994,6.507874009,6.48547118
1995,6.622047237,6.706433013
1996,6.78346456,6.845351976
1997,7.059055111,6.998605475
1998,6.669291332,6.962409609
1999,7.003937001,6.933057028
2000,7.055118103,7.093511971
2001,7.271653536,7.302274547
2002,7.366141725,7.374785483
2003,7.728346449,7.501475389
2004,7.712598417,7.573147251
2005,7.716535425,7.716292209
2006,7.885826764,7.803953243
2007,7.960629913,7.803600553
2008,8.303149598,7.960706032
2009,8.531496054,8.104027101
2010,8.83464566,8.164371862
2011,8.897637786,8.096820931
2012,9.244094479,8.492761282
2013,8.913385818,8.58619679
2014,,8.717314463
2015,,9.061105473
2016,,9.193601372
2017,,9.242845802
2018,,9.340091693
2019,,9.594329444
2020,,9.699874064
2021,,9.886687548
2022,,9.974710764
2023,,10.20390442
