Year,AvgTemperature,ObsCount
1743,4.882423512747876,706
1744,10.734046919263456,5648
1745,1.497592776203966,2824
1750,9.872808244930845,7447
1751,10.046738737075334,5416
1752,4.253063583815029,4152
1753,9.452665778961386,9012
1754,9.364699884659744,8670
1755,8.825222310666362,8794
1756,9.732708362128543,8682
1757,9.519407968574635,8910
1758,8.64849357798165,9265
1759,9.691045464270433,9348
1760,8.798937674834958,8937
1761,9.79443790849673,8874
1762,9.372744063926943,8760
1763,8.744660119457844,8706
1764,9.814161742555903,8631
1765,9.386765923925275,8886
1766,9.541004555555554,9000
1767,9.093677061132922,8915
1768,8.854440511727079,9380
1769,9.447378129681146,9346
1770,9.509911538461537,9360
1771,9.43860138888889,9360
1772,9.945822709163346,9036
1773,10.043391529259617,9279
1774,9.53802763902764,9009
1775,10.574010810243491,9528
1776,9.412268261426737,9364
1777,9.232807058326289,9464
1778,9.37503654673003,8838
1779,9.732407796958958,8747
1780,9.469317456673934,8713
1781,10.016636601834124,9923
1782,8.9502017932702,9926
1783,9.768931678921568,9792
1784,9.106745936877422,9537
1785,8.810571953835154,9791
1786,9.032166767432486,9924
1787,9.967873852501288,9695
1788,9.710807723009381,10022
1789,9.814777118560267,10113
1790,10.03105426754206,9748
1791,10.422602746396574,10268
1792,9.941539370460045,10325
1793,10.058175030599756,9804
1794,10.502071515768057,9830
1795,9.735600683654443,9654
1796,15.137766662187582,14884
1797,15.160372865680136,14056
1798,14.72069825507164,14098
1799,14.708681763285025,14904
1800,15.258411361804994,14892
1801,14.867708321418359,13988
1802,15.754577093994078,14852
1803,15.19981057298314,14887
1804,15.5529237878382,14932
1805,14.850211869556412,14811
1806,15.432511952998377,14808
1807,14.505044966346846,13966
1808,9.240388074583707,10029
1809,9.316521223529412,10625
1810,9.382670348343245,10593
1811,10.092118890977444,10640
1812,8.767334210765181,11017
1813,14.336579349664804,15961
1814,13.56346186139637,15483
1815,14.029431734784259,15806
1816,14.266152702062097,16876
1817,14.625925776522791,17353
1818,15.091287087752008,17162
1819,14.893161167800454,17640
1820,14.348332056601766,18798
1821,14.435909367517956,20048
1822,14.784790461771387,19815
1823,14.349090822323808,19907
1824,15.042044270161497,19381
1825,16.33036346188181,22404
1826,15.007845728770597,19725
1827,15.18684279520016,19834
1828,14.812082922946825,20103
1829,13.971163343064973,20209
1830,14.205239143920599,19344
1831,13.81094755877034,19355
1832,13.774887593394565,21013
1833,15.017078585961341,23592
1834,15.288224724809485,23620
1835,14.575386599180524,24894
1836,14.78631101202651,24446
1837,14.519746852165296,24223
1838,14.669772762967556,24195
1839,15.286412381544194,25748
1840,15.495474925725741,27937
1841,15.511865932169645,30134
1842,15.551532776955176,29716
1843,15.789382175027944,30418
1844,14.884832278706005,28130
1845,15.106487552623728,30167
1846,15.911679020582447,29977
1847,15.348561618435866,30202
1848,15.2028684936113,29740
1849,15.487025584193526,31582
1850,16.192064678766926,34710
1851,16.584894548043483,36519
1852,16.387710304077597,35879
1853,16.38173468084516,36017
1854,16.64717307269328,36372
1855,16.466708896121506,36870
1856,16.453340627049716,38115
1857,16.075235818890235,37215
1858,15.975535939365333,36019
1859,16.449035161325245,36944
1860,15.953020206753962,36275
1861,16.013382296255507,36320
1862,14.154211931689298,30859
1863,15.044016863248132,31963
1864,14.841465776647595,33033
1865,15.930115559129284,34822
1866,16.296307989086998,36287
1867,16.26008773975074,36027
1868,16.51971198213167,36713
1869,16.56422160589499,36777
1870,16.655101252471983,37925
1871,16.388222157925192,38018
1872,16.715643718949607,38043
1873,16.97162953341483,39264
1874,17.03757099629889,39988
1875,16.875182291920325,41066
1876,17.083622405424524,40999
1877,17.422297226785197,41396
1878,17.620437259969563,41401
1879,17.026344372005727,40494
1880,17.177439988417543,41442
1881,17.15488325167145,41431
1882,17.18547378552008,41561
1883,17.005380314600245,41513
1884,16.767088266037874,41137
1885,16.723961019564893,40174
1886,17.06496672903474,41688
1887,17.03878874186499,41641
1888,17.077193009886226,41573
1889,17.248165889871228,41624
1890,17.24324035629624,41763
1891,17.195709289617483,42090
1892,17.14275759739178,42021
1893,16.90571702330005,42060
1894,17.322859425451096,42120
1895,17.20613549382716,42120
1896,17.41331749762583,42120
1897,17.48088765432099,42120
1898,17.480181105169336,42075
1899,17.553389529914533,42120
1900,17.622511301044632,42120
1901,17.46944722222222,42120
1902,17.44224154795822,42120
1903,17.381778632478635,42120
1904,17.198060137701802,42120
1905,17.291567022792023,42120
1906,17.43564458689459,42120
1907,17.140372174738843,42120
1908,17.218217188983854,42120
1909,17.269350759734095,42120
1910,17.284511609686607,42120
1911,17.359756813865147,42120
1912,17.29280256410257,42120
1913,17.41524624881292,42120
1914,17.674071581196586,42120
1915,17.648137393162393,42120
1916,17.4500178062678,42120
1917,17.032358523266858,42120
1918,17.335453751187085,42120
1919,17.46953238366572,42120
1920,17.498858309591643,42120
1921,17.672126400759733,42120
1922,17.531446699905032,42120
1923,17.529943399810072,42120
1924,17.44073235992403,42120
1925,17.53197210351377,42120
1926,17.665183618233616,42120
1927,17.602342972459635,42120
1928,17.652286894586894,42120
1929,17.39258777302944,42120
1930,17.732781695156692,42120
1931,17.635778679962016,42120
1932,17.717267972459638,42120
1933,17.42840424976258,42120
1934,17.695059425451092,42120
1935,17.647516001899334,42120
1936,17.647436562203232,42120
1937,17.764566761633432,42120
1938,17.854721082621083,42120
1939,17.810359567901234,42120
1940,17.590503988603988,42120
1941,17.822197815764483,42120
1942,17.661526590693256,42120
1943,17.749479819563152,42120
1944,17.73079698480532,42120
1945,17.60776232193732,42120
1946,17.93443335707503,42120
1947,17.790526566951566,42120
1948,17.912139363722698,42120
1949,17.859298409306742,42120
1950,17.679402041785377,42120
1951,17.821102991452992,42120
1952,17.82992594966762,42120
1953,17.976885018993354,42120
1954,17.684173456790123,42120
1955,17.71472136752137,42120
1956,17.305051899335236,42120
1957,17.798230199430197,42120
1958,17.99743065052232,42120
1959,18.00270861823362,42120
1960,17.900933879392216,42120
1961,18.02993437796771,42120
1962,17.72721220322887,42120
1963,17.7381779677113,42120
1964,17.655022554605882,42120
1965,17.62380994776828,42120
1966,17.971467331433995,42120
1967,17.752271581196585,42120
1968,17.639048433048433,42120
1969,17.683528846153845,42120
1970,17.779190337132007,42120
1971,17.65338024691358,42120
1972,17.762622792022793,42120
1973,17.972550474833806,42120
1974,17.70432374169041,42120
1975,17.872018209876543,42120
1976,17.49627082146249,42120
1977,17.988380294396965,42120
1978,17.76857794396961,42120
1979,17.961801377018045,42120
1980,17.84002540360874,42120
1981,17.94437431149098,42120
1982,17.95569938271605,42120
1983,18.09413076923077,42120
1984,17.750914672364672,42120
1985,17.760221391263062,42120
1986,17.878245821462492,42120
1987,18.093332953466287,42120
1988,18.12130156695157,42120
1989,18.139926305792976,42120
1990,18.438358262108263,42120
1991,18.111251756885093,42120
1992,18.015378822412156,42120
1993,17.94270982905983,42120
1994,18.345653584995254,42120
1995,18.328775546058875,42120
1996,17.914262559354224,42120
1997,18.234273765432096,42120
1998,18.682514292497626,42120
1999,18.48427552231719,42120
2000,18.383936514719846,42120
2001,18.456090384615383,42120
2002,18.664708262108263,42120
2003,18.47855413105413,42120
2004,18.494878133903132,42120
2005,18.451510232668568,42120
2006,18.604472008547006,42120
2007,18.686940598290597,42120
2008,18.445346604938273,42120
2009,18.601106101614434,42120
2010,18.553508452041786,42120
2011,18.393314648622983,42120
2012,18.52596851851852,42120
2013,19.06103811360449,28520
